hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
51 Peg,5787.0,0.161,1.05,1.15,4.36,0.2,6.76,1.189248815891922,216.4603396,1,5.28647,G,1,0,0,False
55 Cnc,5235.0,-0.18,0.96,0.93,4.48,0.31,9.5,1.099870473990655,539.1329986,2,5.72973,G,5,1,1,False
HD 209458,6065.0,0.21,1.119,1.155,4.361,0.0,3.1,1.683961517079919,34.5682789,1,7.50866,,1,0,0,False
HR 810,6097.0,0.25,1.15,1.18,4.38,0.11,2.72,1.2385002430636125,399.5181853,1,5.25587,G,1,0,0,False
GJ 876,3293.74,-1.847020765474539,0.369607,0.367,4.874911,0.2129,,0.6697974074480213,1171.1009489,1,8.8753,,4,2,1,False
HD 38529,5573.0,0.74,1.41,2.66,3.81,0.37,3.09,1.6268923814907015,161.8424176,2,5.74796,,2,1,1,False
rho CrB,5817.0,0.26007,0.95,1.34,4.25,-0.2,10.2,1.2422208066118348,797.5220847,1,5.24167,,4,0,0,False
HD 169830,6305.0,0.629,1.4,1.73,4.09,0.09,2.5,1.5752432832378744,16.4600597,1,5.77641,,2,1,1,False
HD 168443,5645.0,0.246,1.05,1.39,4.16,0.12,9.0,1.597963795134679,242.3014111,1,6.73166,,2,1,1,False
ups And,6213.0,0.561,1.31,1.64,4.16,0.15,3.12,1.1272797773044245,419.8574185,2,3.98687,F,3,1,1,False
GJ 3021,5519.04,-0.18927,0.97,0.879611,4.53626,0.1046,,1.24442309839919,437.5480518,2,6.39729,,1,0,0,False
HD 27442,4961.0,0.79,1.46,3.18,3.76,0.26,2.89,1.2617480556114933,174.6127895,2,4.14532,,1,0,0,False
eps Eri,5146.0,-0.456,0.86,0.77,4.61,-0.03,2.6,0.5055026993129453,975.5865066,1,3.47719,K,1,0,0,False
HD 160691,5784.0,0.303,1.15,1.33,4.25,0.29,7.96,1.1930717002922953,191.5319109,1,4.94916,G,4,1,1,False
BD-10 3166,5388.0,-0.313,1.0,0.8,4.44,0.42,1.0,1.9263779502919958,185.0255981,1,9.83981,,1,0,0,False
HD 89744,6249.16,0.79579,1.21,2.13257,3.86304,0.2238,,1.5869966536396418,183.3619728,2,5.60551,,1,0,0,False
HD 134987,5764.0,0.144,1.1,1.19,4.19,0.33,4.5,1.4179762776794302,407.3027012,1,6.28994,,2,0,0,False
47 UMa,5882.0,0.233,1.06,1.24,4.31,0.04,6.48,1.1397752209537655,322.3708569,1,4.87837,G,3,1,1,False
tau Boo,6387.0,0.525,1.34,1.46,4.27,0.23,1.64,1.1945726139097987,472.3602962,2,4.36617,F,1,0,0,False
HD 10697,5614.0,0.42,1.11,1.75,4.11,0.15,6.98,1.5200968844414016,113.3529363,1,6.10286,,1,1,1,False
HD 179949,6168.0,0.322,1.18,1.22,4.36,0.14,2.56,1.4386578288675052,156.5457503,1,6.1106,F,1,0,0,False
HD 177830,4949.0,0.68502,1.47,2.62,3.65,0.545,4.4,1.797734139339906,66.7665853,2,6.8866,,2,0,0,False
HD 210277,5553.0,-0.027,1.0,1.05,4.31,0.22,7.5,1.3283490182433377,458.5778739,1,6.34701,,1,1,1,False
HD 130322,5373.0,-0.273,0.9,0.84,4.33,0.05,1.0,1.5034719927747715,191.8604963,1,7.83448,,1,0,0,False
HD 46375,5336.0,-0.137,0.95,1.0,4.37,0.32,9.0,1.4706001042426868,147.7164267,2,7.69533,,1,0,0,False
HD 195019,5741.0,0.329,1.05,1.48,4.06,0.03,8.5,1.575973714699524,354.1908518,2,6.72911,,1,0,0,False
16 Cyg B,5674.0,0.143,0.96,1.17,4.3,0.04,11.8,1.3250988198082547,211.1222128,3,6.06428,G,1,1,1,False
HD 217107,5665.0,0.042,1.1,1.09,4.25,0.4,4.0,1.302372061308539,16.3978436,1,5.96401,,2,0,0,False
HD 187123,5790.0,0.12713,1.04,1.15043,4.33338,0.09,,1.6623308803497672,188.6982861,1,7.67284,,2,0,0,False
HD 52265,6076.0,0.352,1.17,1.28,4.31,0.19,3.76,1.476835974332564,141.6078979,1,6.15257,G,1,0,0,False
HD 92788,5772.0,0.091,1.1,1.11,4.3,0.32,3.5,1.5397508645912357,223.7420083,1,7.13929,,2,0,0,False
HD 12661,5785.0,0.033,1.1,1.04,4.39,0.37,1.0,1.5780406400942535,204.3236427,1,7.24746,,2,0,0,False
HD 222582,5780.0,0.055,1.0,1.06,4.33,-0.01,6.0,1.6248861804215213,183.1072102,2,7.51889,,1,1,1,False
70 Vir,5545.0,0.501,1.1,1.88,3.96,-0.01,7.92,1.2528797186476042,622.5685118,1,4.76178,G,1,0,0,False
HD 16141,5747.0,0.24,1.05,1.39,4.14,0.14,7.51,1.5773320695861208,464.7992802,2,6.65773,,1,0,0,False
HD 75289,5974.0,0.29,1.2,1.31,4.06,0.2,3.5,1.464128727496159,228.8658,2,6.21047,,1,0,0,False
GJ 86,5151.0,-0.377,0.8,0.8,4.54,-0.27,11.3,1.0327637700467147,2218.591653,2,5.88516,K,1,0,0,False
HD 192263,5028.0,-0.546,0.8,0.7,4.29,-0.02,1.0,1.2930508116963806,268.3808352,1,7.49558,,1,0,0,False
OGLE-TR-10,6075.0,0.45076215493823163,1.277,1.52,4.178,0.28,3.1,3.128712597364626,5.1852878,1,15.6845,,1,0,0,False
HD 73526,5564.0,0.33,1.01,1.41,4.13,0.23,9.59,1.9878431636827125,170.3177023,1,8.79682,,2,0,0,False
2MASS J12073346-3932539,2825.0,-2.56086,0.188001,0.21887,5.03186,,,1.8082650030912368,68.3315134,1,17.4076,,1,0,0,False
HD 39091,6037.0,0.164,1.15,1.11,4.42,0.08,1.5,1.2617433015080368,1094.0304816,1,5.5128,,3,1,1,False
GJ 581,3500.0,-1.90781,0.295,0.302,4.97,-0.08,,0.7992095519981126,1225.3257121,1,9.411,M,3,0,0,False
HD 50554,5982.0,0.119,1.05,1.07,4.29,-0.07,3.5,1.493686640248343,103.324084,1,6.69786,,1,1,1,False
HD 111232,5406.0,-0.158,0.7,0.95,4.31,-0.46,13.0,1.4617550659138727,115.6833576,1,7.40535,,2,0,0,False
